Gene_ID	1a-1	1a-2	1a-3	1b-1	1b-2	1b-3	9b-1	9b-2	9b-3	13a-1	13a-2	13a-3	13b-1	13b-2	13b-3	17a-1	17a-2	17a-3	17b-1	17b-2	17b-3
STRG.1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216.980179	0	293.901123
STRG.100602	0	0	0	0	106.154594	0	24.843786	25.227791	0	133.706085	0	70.638786	0	0	0	0	0	0	43.472473	0	0
STRG.100658	27.316793	69.818268	30.488094	0	0	36.341808	25.628334	17.26112	28.715055	0	21.15905	36.248859	18.866211	173.656631	26.619526	17.817816	138.357895	0	60.057522	5.5103	63.662384
STRG.100740	307.013031	95.84375	234.737183	119.835793	166.565231	43.48336	237.78714	289.179932	131.213943	247.164963	499.999176	50.190693	286.786346	156.626602	167.666245	618.463318	356.73114	194.722534	256.661163	324.698944	389.483551
STRG.10112	0	0	0	0	0	0	0	15.783607	85.582123	0	0	0	0	43.845886	0	0	0	0	500.035919	0	408.790619
STRG.101169	0	0	0	0	0	0	0	0	0	0	0	0	0	76.265587	3.730189	14.054273	0	6.95214	87.209984	0	845.371826
STRG.101171	0	0	0	0	0	0	12.240355	18.823257	31.222281	0	10.613022	0	5.884609	264.899597	21.65242	0	0	0	293.373291	0	807.332153
STRG.101253	2.403498	0	0	0	0	0	0	14.382367	12.31487	0	15.079592	0	0	40.891506	3.126644	0	0	0	69.894066	0	288.981995
STRG.10126	0	0	0	0	0	12.350433	0	0	0	0	0	0	0	0	0	0	0	0	140.470749	0	292.046356
STRG.101260	0	76.315468	159.830017	0	26.895597	0	0	63.151562	0	129.75386	25.795168	377.512177	5.856305	484.507996	57.409569	244.019836	260.227997	0	68.446861	27.566751	61.332981
STRG.101300	0	0	0	0	32.959095	0	0	0	0	0	0	0	0	234.563416	0	0	0	0	157.939804	0	0
STRG.101400	21.248053	0	0	0	0	0	5.175796	0	63.852268	69.882942	51.063301	0	5.046551	198.74794	0	0	0	97.899086	0	38.455494	0
STRG.101670	0	0	0	0	0	0	0	4.177854	970.259949	0	0	0	0	0	0	0	0	0	0	0	0
STRG.101718	17.927483	0	0	0	32.537537	0	0	0	0	0	6.308973	62.36578	15.29809	13.107076	85.246841	0	0	0	163.814163	0	1076.291138
STRG.102074	8.885548	0	0	0	0	0	0	0	0	0	0	0	0	60.580929	15.768971	0	0	0	138.86409	0	393.767303
STRG.102572	26.161419	0	0	0	0	0	0	64.650291	1402.323975	0	0	0	0	0	0	0	0	0	0	0	0
STRG.102573	12.18912	0	0	0	0	0	0	36.630604	319.269562	0	0	0	0	0	0	0	0	0	0	0	0
STRG.102575	0	0	0	0	0	0	0	19.695593	466.47699	0	0	0	0	0	0	0	0	0	0	0	0
STRG.102594	0	0	0	121.183891	0	0	0	0	128.373169	0	50.638737	0	0	0	5.335141	0	17.814222	0	72.940536	39.57724	0
STRG.102597	12.34348	35.688168	113.52404	0	31.129911	12.618819	14.187711	82.138504	14.812274	72.06057	44.930725	61.727421	0	0	0	0	98.183304	0	0	26.584017	0
STRG.10294	18.692751	0	0	0	0	0	8.545607	0	395.886963	0	6.082932	0	0	0	0	0	0	0	0	0	0
STRG.102994	5.352116	15.210095	43.37846	0	4.392584	0	12.451825	16.05624	8.764421	0	48.540573	0	13.030012	18.864313	25.454382	0	0	0	103.436378	25.771217	185.957764
