Contig	Gene	sRNA_ID	s1a1	s1a2	s1a3	s1b1	s1b2	s1b3	s9b1	s9b2	s9b3	s13a1	s13a2	s13a3	s13b1	s13b2	s13b3	s17a1	s17a2	s17a3	s17b1	s17b2	s17b3	s2017-9am1	s2017-9am2	s2017-9am3	s2017-9am4	s2017-9am5	s2017-9am6	s2017-9am7	s2017-9am8	s2017-9am9	s2017-9am10	s2017-9am11	s2017-9am12	s2017-9pm1	s2017-9pm2	s2017-9pm3	s2017-9pm4	s2017-9pm5	s2017-9pm6	s2017-9pm7	s2017-9pm8	s2017-9pm9	s2017-9pm10	s2017-9pm11	s2017-9pm12	g1a1	g1a2	g1a3	g1b1	g1b2	g1b3	g9b1	g9b2	g9b3	g13a1	g13a2	g13a3	g13b1	g13b2	g13b3	g17a1	g17a2	g17a3	g17b1	g17b2	g17b3	g2017-9am1	g2017-9am2	g2017-9am3	g2017-9am4	g2017-9am5	g2017-9am6	g2017-9am7	g2017-9am8	g2017-9am9	g2017-9am10	g2017-9am11	g2017-9am12	g2017-9pm1	g2017-9pm2	g2017-9pm3	g2017-9pm4	g2017-9pm5	g2017-9pm6	g2017-9pm7	g2017-9pm8	g2017-9pm9	g2017-9pm10	g2017-9pm11	g2017-9pm12
NODE_9_length_109007_cov_29.973566	Ga0224629_1000009.125	STRG.476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417.169739	0	273.123657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.304509	0.259572	0	0.956619	0.11739	0	0	0	0	0	0.264405	0	0	0.368514	0.445733	0.464545	0	0	1.966462	0	2.373219	2.259373	0	4.176124	6.455894	2.410495	0.671559	1.906932	0	0.430841	5.368543	1.677755	1.815312	0.954948	1.802303	1.729911	1.902754	0	6.079062	0.413155	0	1.612533	0	2.281502	1.12674
NODE_9_length_109007_cov_29.973566	Ga0224629_1000009.8	STRG.432	0	0	0	13.748459	0	0	0	0	0	0	0	0	7.573222	177.174561	0	0	0	0	827.719971	0	720.870483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123948	0	0	0	0	0	0	0	0	0	0	1.361088	0	0	0.494697	0	0	0	0	0	6.681244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_10_length_104218_cov_16.693183	Ga0224629_1000010.23	STRG.506	0	0	0	0	0	13.174013	0	0	22.900999	0	0	0	0	0	0	0	0	0	168.417648	0	325.792786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039723	0	0	0	0	0	0	1.374495	0.297808	0	0	0	0	0	2.209103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_11_length_102951_cov_23.208978	Ga0224629_1000011.103	STRG.631	0	106.518082	92.109787	146.983658	0	0	22.563694	0	0	0	0	0	12.139105	117.43692	0	38.562302	0	0	232.861038	0	106.441986	0	0	0	0	0	0	178.892456	0	0	0	0	0	28.60622	0	0	0	0	0	59.921795	0	0	0	0	0	0.832085	1.851038	2.911006	5.154526	1.799003	5.173941	1.989045	3.530059	1.872175	1.742898	1.793597	2.111205	1.123315	5.321397	0.32387	5.741806	3.252697	2.831441	2.122238	0.655271	1.235086	0	0	9.550963	0	1.394978	6.125322	0	0.15526	3.022744	8.554921	0	1.280608	3.089586	2.91325	2.276786	5.213307	0	1.702993	1.615799	1.800023	1.292005	3.703235	4.315144	0
NODE_17_length_89084_cov_7.877882	Ga0224629_1000017.110	STRG.790	98.750183	0	0	0	0	0	0	106.376404	692.997681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219.471771	71.523224	0	0	0	0	0	0	0	0	0	0	222.403763	0	0	0	0	157.991089	0	0	0	417.46817	0.697713	0	0	0	0	0	0	0.465608	5.240675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_17_length_89084_cov_7.877882	Ga0224629_1000017.16	STRG.760	25.631466	0	0	0	0	0	0	0	1032.362671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.084755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.056021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_17_length_89084_cov_7.877882	Ga0224629_1000017.171	STRG.814	23.543633	0	0	0	0	0	18.536617	0	623.365417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.104271	0.480632	0	0	0	0	0	0	0	4.29531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_17_length_89084_cov_7.877882	Ga0224629_1000017.24	STRG.774	22.17145	0	0	0	0	0	0	0	421.27829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.231524	0	0	0	0.015681	0.32026	19.64595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_17_length_89084_cov_7.877882	Ga0224629_1000017.92	STRG.784	97.953758	0	0	0	0	0	0	68.248199	2279.846191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.548619	0	0	0	0	0	0	0.886469	11.067013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_24_length_82296_cov_31.970282	Ga0224629_1000024.61	STRG.1046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302.552673	0	449.356018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178751	0	0	0	0	0.03575	0.053377	0	0	0	0	0.132814	0	0	0.355919	0	0	1.294512	0	2.420168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
