Contig	Gene	sRNA_ID	s1a1	s1a2	s1a3	s1b1	s1b2	s1b3	s9b1	s9b2	s9b3	s13a1	s13a2	s13a3	s13b1	s13b2	s13b3	s17a1	s17a2	s17a3	s17b1	s17b2	s17b3	s2017-9am1	s2017-9am2	s2017-9am3	s2017-9am4	s2017-9am5	s2017-9am6	s2017-9am7	s2017-9am8	s2017-9am9	s2017-9am10	s2017-9am11	s2017-9am12	s2017-9pm1	s2017-9pm2	s2017-9pm3	s2017-9pm4	s2017-9pm5	s2017-9pm6	s2017-9pm7	s2017-9pm8	s2017-9pm9	s2017-9pm10	s2017-9pm11	s2017-9pm12	g1a1	g1a2	g1a3	g1b1	g1b2	g1b3	g9b1	g9b2	g9b3	g13a1	g13a2	g13a3	g13b1	g13b2	g13b3	g17a1	g17a2	g17a3	g17b1	g17b2	g17b3	g2017-9am1	g2017-9am2	g2017-9am3	g2017-9am4	g2017-9am5	g2017-9am6	g2017-9am7	g2017-9am8	g2017-9am9	g2017-9am10	g2017-9am11	g2017-9am12	g2017-9pm1	g2017-9pm2	g2017-9pm3	g2017-9pm4	g2017-9pm5	g2017-9pm6	g2017-9pm7	g2017-9pm8	g2017-9pm9	g2017-9pm10	g2017-9pm11	g2017-9pm12
NODE_485_length_30451_cov_23.714370	Ga0224629_1000485.9	STRG.10000	0	25.85714973	23.06359846	0	0	0	0	4.024915367	0	0	4.620593542	33.91715749	12.79016761	0	0	0	10.80319908	21.11304841	6.848694735	0	33.17303564	0	177.5245359	0	0	159.3180378	0	0	0	0	0	66.57888215	0	31.29038114	0	0	50.78816629	0	0	16.597785	0	0	0	28.1032363	0	0.255097419	0.157167959	0.16215102	0	0.498463454	0	0.460509094	1.2086392	0.13093465	0.644878453	0.333278916	0.028635457	0.218839307	0.150813021	0	0.132982017	0.630227133	0	0.191777296	0.437155317	0.592207049	9.338816442	1.886635534	0	2.455795087	0.502632489	1.317123706	0	0.150242127	0	6.139352474	0.718104161	2.84096942	0.631768976	0	0	0.582041856	10.92480191	2.582320305	0.781818257	2.137873985	11.1379379	1.597022409	1.039361186	1.208761635
NODE_19643_length_5434_cov_8.696412	Ga0224629_1019643.9	STRG.100388	0	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	0	8.337347995	#DIV/0!	0	#DIV/0!	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	50.09060303	0	73.2819824	#DIV/0!	0	#DIV/0!	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	#DIV/0!	#DIV/0!	148.4703668	0	#DIV/0!	0	0	#DIV/0!	0	185.7677263	#DIV/0!	0.485250847	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	0	0.55407242	#DIV/0!	0	#DIV/0!	0	1.200096066	0.916606573	#DIV/0!	#DIV/0!	#DIV/0!	0.303884097	0	0.191088579	#DIV/0!	0	#DIV/0!	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0	0	#DIV/0!	0	0	#DIV/0!
NODE_487_length_30407_cov_32.808876	Ga0224629_1000487.46	STRG.10050	0	0	0	0	0	0	0	0	#DIV/0!	0	0	0	0	0	0	0	0	#DIV/0!	137.6579486	0	52.19459869	#DIV/0!	0	#DIV/0!	0	0	0	#DIV/0!	0	0	#DIV/0!	0	0	0	0	#DIV/0!	0	0	0	#DIV/0!	#DIV/0!	0	#DIV/0!	0	0	0	0	0	0	0	0	0	0	#DIV/0!	0	1.538316672	0	0	0	0	0	29.20231965	#DIV/0!	0.532217892	0	0.324475662	#DIV/0!	0	#DIV/0!	0	0	0	#DIV/0!	0	0	#DIV/0!	0	0	0	0	#DIV/0!	0	0	0	#DIV/0!	#DIV/0!	0	#DIV/0!	0	0
NODE_19971_length_5382_cov_8.397973	Ga0224629_1019971.6	STRG.101213	0	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	361.1315076	0	0	0	#DIV/0!	0	0	24.68044539	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	4.174121542	1.043722906	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0	0	#DIV/0!	0.681639354	0	0.132441087	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
NODE_19996_length_5376_cov_7.496523	Ga0224629_1019996.9	STRG.101273	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	159.0052137	#DIV/0!	109.9238356	#DIV/0!	#DIV/0!	63.13321946	#DIV/0!	51.11023778	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.780537244	0.126272959	#DIV/0!	0	#DIV/0!	#DIV/0!	0.149273084	#DIV/0!	0.154907538	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
NODE_20101_length_5359_cov_3.893665	Ga0224629_1020101.11	STRG.101529	26.44046552	0	0	0	#DIV/0!	#DIV/0!	10.17275928	0	214.9630196	0	0	0	0	0	0	0	0	#DIV/0!	0	0	7.746533198	#DIV/0!	0	#DIV/0!	#DIV/0!	0	#DIV/0!	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!	0	0	0	0	0	0	#DIV/0!	0	0	0	0	0.702922647	0	#DIV/0!	#DIV/0!	0.753323846	0.521126352	0	0	0	0	0	0	0	0	0	#DIV/0!	0	0	0	#DIV/0!	0	#DIV/0!	#DIV/0!	0	#DIV/0!	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!	0	0	0	0	0	0	#DIV/0!	0	0
NODE_495_length_30298_cov_24.028800	Ga0224629_1000495.12	STRG.10154	0	0	0	0	27.41183101	0	0	5.49384459	23.20188354	0	0	0	0	27.69209132	0	0	0	0	20.39914674	0	81.76327699	0	0	0	0	0	0	0	0	0	0	0	9.932857947	0	0	0	0	0	0	0	0	0	0	0	0	2.054904249	3.34739824	2.12252424	1.862268477	1.266837323	2.754733405	2.509126974	1.770366611	1.883302382	2.26633068	1.242602335	1.11363283	1.055400199	1.352989811	0.991216933	2.031452469	2.60057683	3.756162442	1.176841714	2.103509687	1.024110227	0.582723477	0	1.615991874	0.276953441	0.854104903	2.272279131	5.065591424	0	0.321224624	1.401403198	0.533932898	1.937732302	1.14232943	0.386463226	0	1.118810035	4.759661713	0	0.193581208	0.909563162	0	2.424618343	0.175776201	0.160099506
NODE_20167_length_5349_cov_131.387231	Ga0224629_1020167.1	STRG.101695	#DIV/0!	0	0	#DIV/0!	0	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0	0	#DIV/0!	0	0	64.23304863	#DIV/0!	35.21629184	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	#DIV/0!	0	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0	0	#DIV/0!	0	0	0.20562231	#DIV/0!	0.328793143	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	#DIV/0!	0	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
NODE_20167_length_5349_cov_131.387231	Ga0224629_1020167.7	STRG.101696	#DIV/0!	0	0	#DIV/0!	0	#DIV/0!	236.9374311	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	213.8818625	68.37325311	#DIV/0!	0	0	47.75772886	#DIV/0!	54.72289574	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	#DIV/0!	0	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0.186736027	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0.506897472	0.456398997	0.516986593	#DIV/0!	0	0	0.09135667	#DIV/0!	0.341322881	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	#DIV/0!	0	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
NODE_20262_length_5330_cov_151.199242	Ga0224629_1020262.7	STRG.101922	0	0	0	#DIV/0!	0	#DIV/0!	0	0	0	0	27.6575907	0	86.20299526	0	44.17049341	#DIV/0!	#DIV/0!	0	55.47521899	0	58.79649122	#DIV/0!	0	0	0	0	0	0	0	0	0	0	0	#DIV/0!	0	0	0	0	0	#DIV/0!	0	0	0	0	#DIV/0!	0.895529349	0	5.330168229	#DIV/0!	0.25676294	#DIV/0!	0	0	2.539551144	0	0.293935516	0	0	0	0.377493944	#DIV/0!	#DIV/0!	0	0.470000465	0	0	#DIV/0!	0	0	0	0	0	0	0	0	0	0	0	#DIV/0!	0	0	0	0	0	#DIV/0!	0	0	0	0	#DIV/0!
