Contig	sRNA_ID	s1a1	s1a2	s1a3	s1b1	s1b2	s1b3	s9b1	s9b2	s9b3	s13a1	s13a2	s13a3	s13b1	s13b2	s13b3	s17a1	s17a2	s17a3	s17b1	s17b2	s17b3	s2017-9am1	s2017-9am2	s2017-9am3	s2017-9am4	s2017-9am5	s2017-9am6	s2017-9am7	s2017-9am8	s2017-9am9	s2017-9am10	s2017-9am11	s2017-9am12	s2017-9pm1	s2017-9pm2	s2017-9pm3	s2017-9pm4	s2017-9pm5	s2017-9pm6	s2017-9pm7	s2017-9pm8	s2017-9pm9	s2017-9pm10	s2017-9pm11	s2017-9pm12
NODE_1_length_282097_cov_10.011800	STRG.116	0	0	0	0	0	0	0	0	0	0	73.269043	0	162.105499	0	0	393.494629	0	0	0	0	0	0	0	0	0	0	342.112091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_100_length_52167_cov_17.156970	STRG.3279	0	9.976001	19.254534	0	2.444046	0	232.318573	279.618408	99.02652	0	4.898577	121.908104	15.364889	158.483841	19.557381	144.248291	0	0	122.280357	1.61542	79.914429	0	0	0	0	0	0	0	180.984253	0	0	0	0	0	203.95694	0	0	0	41.936722	0	0	161.429977	0	0	0
NODE_10033_length_8069_cov_30.712254	STRG.76768	61492.61719	38823.60938	18662.71484	69952.01563	7312.816895	23062.86719	53861	75785.21094	52540.64453	32744.58594	14186.10352	8489.670898	13875.65332	51034.94922	27648.04883	12454.84375	51303.84375	11109.94922	14094.73535	46446.78906	5721.323242	34640.02734	41553.14453	40110.18359	54435.63672	44350.84766	33436.28125	51452.13281	42238.98438	49484.5	31023.18555	20050.41211	48717.26953	34536.77734	49611.51953	39737.21094	58805.98438	54717.59766	12610.10059	38393.27734	74009.72656	33730.07422	52408.22656	15002.29102	62266.78906
NODE_10049_length_8061_cov_14.166000	STRG.76849	0	0	307.253998	0	0	0	0	0	0	0	80.595985	146.323318	0	0	0	0	0	0	0	0	0	165.65773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197.459854	0	0	0	0	0	0
NODE_10050_length_8060_cov_4.411368	STRG.76851	84.61454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550.341431	502.258606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_10063_length_8054_cov_18.553569	STRG.76888	2958.505615	1927.099976	1308.2052	572.749756	719.618652	1198.061523	3962.37207	2009.649048	0	1006.030457	2044.138184	2236.400635	4047.595215	1194.755737	1840.285889	852.577026	2939.432129	207.467377	1903.773926	4712.334473	1357.101929	1662.120605	4742.926758	4108.084473	2784.717529	2571.022461	2447.593994	3897.291992	1587.707031	698.575317	3095.388672	14365.33984	9918.484375	4182.26709	1847.352417	2604.224609	3603.577637	4675.432617	1911.492798	2760.510254	4325.717285	12052.01172	2636.889404	3861.307373	420.038971
NODE_1009_length_23319_cov_10.051582	STRG.18418	21.29015	78.0755	210.447952	710.314636	15.46804	0	0	0	78.362503	0	0	240.094055	0	314.796661	53.432205	56.352764	0	0	29.215139	68.231163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_10137_length_8018_cov_16.392817	STRG.77219	0	0	0	401.156708	0	0	81.901169	0	0	0	0	0	0	0	20.24514	0	0	0	0	0	693.339478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1018_length_23197_cov_10.667142	STRG.18529	4931.805176	125.642273	6122.766113	2258.331787	645.633911	2643.025635	6486.347656	4824.641602	8569.422852	2596.968018	3439.306396	348.322144	12384.22656	3892.371826	1285.657715	6676.130371	749.589172	1862.736572	2043.987183	3852.039062	1426.385376	1047.167358	198.439209	1061.101074	4991.519043	8544.144531	2446.634277	852.700195	695.598572	2107.1521	593.658875	0	2387.820312	6893.477051	937.788757	2414.422119	1224.206665	3415.189941	0	2655.586914	755.869568	367.897339	1505.18811	1671.046021	1552.518188
NODE_1021_length_23173_cov_10.861536	STRG.18587	398.507233	0	0	0	0	0	0	0	0	0	51.844128	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_10254_length_7963_cov_36.557284	STRG.77675	447.682037	2784.58667	0	217.071655	0	0	91.036324	86.150063	105.694901	660.316467	0	439.276672	52.85775	0	1006.025452	104.609093	225.027542	1196.362061	268.804657	86.293839	0	0	0	0	135.545135	0	0	0	0	0	144.578232	0	0	346.513092	0	0	0	0	0	0	0	0	0	0	172.918045
NODE_10255_length_7963_cov_23.262519	STRG.77697	0	0	0	0	0	0	406.426727	99.196236	0	84.69191	0	0	44.93111	227.070496	69.492279	0	0	0	1122.336304	44.989979	220.426636	0	0	0	0	0	0	237.502106	0	0	0	0	0	0	0	0	0	0	0	0	0	146.025757	0	0	0
NODE_10375_length_7915_cov_20.324427	STRG.78163	125.24514	0	0	0	0	0	55.692822	516.900146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_10433_length_7896_cov_22.681801	STRG.78386	141.638138	136.224121	0	0	0	0	0	72.552879	88.381401	389.222931	56.058781	384.947113	262.621643	173.759308	160.334595	120.42646	733.101807	67.092171	80.55793	143.052292	0	0	0	0	0	0	0	219.931702	0	166.372864	0	0	0	0	0	0	0	0	0	126.761597	0	230.436005	159.61055	492.285034	0
NODE_10473_length_7880_cov_6.235527	STRG.78564	1040.140381	551.862366	0	3140.690918	230.730438	0	1295.880005	1266.760986	441.460785	887.73468	206.175064	0	242.571991	802.415344	464.151337	231.59137	443.724213	366.724579	586.982178	882.42926	0	370.572937	0	1381.712646	1511.039673	988.830811	0	0	562.169861	1047.526733	0	0	537.212158	691.436157	329.688904	279.566803	0	565.086609	368.65213	598.932312	957.92749	773.152039	0	595.479553	368.640533
NODE_10494_length_7870_cov_4.297249	STRG.78650	586.482361	0	301.456726	0	167.857773	0	141.859085	0	330.149078	0	316.522247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_105_length_51778_cov_8.478781	STRG.3367	0	0	0	0	0	0	0	236.912521	554.598694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1051_length_22935_cov_24.178453	STRG.19005	0	0	112.38076	0	0	0	67.17807	163.919632	0	0	0	0	0	86.333679	0	171.973953	276.22052	0	496.785767	0	356.452728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_10515_length_7860_cov_10.005509	STRG.78732	0	0	0	0	0	0	77.183014	567.466431	0	290.637054	0	0	107.164246	271.317413	336.684753	0	0	221.739243	0	21.948574	189.665344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1056_length_22892_cov_24.343828	STRG.19095	344.165283	0	0	0	0	0	151.889496	0	0	0	0	0	0	0	0	339.97934	0	0	288.203003	0	513.212036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_10645_length_7807_cov_8.258772	STRG.79269	0	0	373.922272	206.32045	0	0	299.480225	0	258.722626	0	346.382782	0	130.214676	119.610527	0	769.764526	309.094543	0	0	299.716248	125.882195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_10692_length_7790_cov_5.014092	STRG.79470	56.040077	0	76.813499	192.90535	42.771454	361.098969	824.514832	165.56958	102.526772	0	102.622444	0	53.216801	0	0	334.667145	0	0	0	73.619392	236.558685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_10748_length_7769_cov_5.420016	STRG.79639	0	0	0	0	0	0	24.269817	0	0	0	0	0	0	0	0	0	0	0	851.388733	0	330.762878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1076_length_22753_cov_12.024319	STRG.19339	181.41922	0	0	0	0	542.094177	211.426514	470.634338	292.878021	0	0	0	0	360.74646	148.713928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850.964294	0	0	0	0	445.159241	885.281494	342.78476	0	0	0	229.252441	0	0	0	0
NODE_1078_length_22700_cov_7.737690	STRG.19356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305.239685	0	519.53241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1084_length_22665_cov_56.882663	STRG.19433	3153.188477	2066.349365	5424.130859	1960.233398	168.641769	3766.04126	1420.166992	2195.902344	489.124084	2470.34668	843.305725	1346.325806	968.625793	1654.175171	331.874908	220.986557	0	318.996277	132.779312	1636.574097	711.165283	743.165894	5430.606934	1381.360718	2742.34082	872.645752	339.701599	400.855255	814.739685	0	1239.241455	1493.169434	1320.21582	935.584839	0	912.11084	1597.288208	484.561951	1810.989014	436.69104	1813.178711	370.852753	0	726.258789	0
NODE_10849_length_7723_cov_9.980960	STRG.80035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107.66198	0	1084.676636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1086_length_22649_cov_28.939674	STRG.19474	247.244537	0	275.092194	0	18.25614	0	338.741425	43.337685	177.482224	48.110207	174.666229	0	0	42.278538	33.577236	0	83.24205	55.471336	0	49.250648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1087_length_22647_cov_24.260402	STRG.19539	0	0	0	0	341.292755	0	0	123.029343	0	0	55.282982	0	0	44.777035	694.22644	172.900391	396.726562	52.869373	94.75164	270.15863	0	139.979843	0	0	0	0	0	311.518188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144.345123
NODE_10898_length_7703_cov_51.922202	STRG.80214	0	0	0	0	0	0	0	0	336.498108	0	0	0	325.921112	0	0	0	0	0	375.537323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1091_length_22617_cov_23.563248	STRG.19525	0	189.489777	0	791.084961	0	0	40.779259	207.625092	0	203.579422	97.671638	0	0	0	0	0	0	0	400.348999	0	449.865784	85.222824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1091_length_22617_cov_23.563248	STRG.19530	375.029572	821.341309	657.951721	498.030029	125.684944	0	0	580.983093	0	827.272766	314.738556	308.816162	102.117462	1271.849121	71.93644	359.138	2925.358398	223.421692	343.717529	41.378574	270.540649	0	244.832916	569.276794	151.654953	838.462769	225.22168	0	392.535156	695.953979	66.215645	272.556213	108.56424	1416.584595	283.075287	155.615112	337.931671	278.343323	207.980225	795.383911	0	300.401581	0	645.893921	591.924927
NODE_1094_length_22592_cov_22.511869	STRG.19556	0	0	254.474213	0	0	0	0	0	0	0	132.046112	0	0	162.859177	0	123.059937	0	0	268.753784	0	565.950134	0	0	0	0	0	0	0	0	0	171.631119	0	0	0	0	0	0	0	0	0	0	0	406.369659	0	237.894836
NODE_10963_length_7677_cov_11.792312	STRG.80450	98.555519	53.003334	75.987602	273.090118	121.415756	0	76.35305	466.877502	0	172.035751	104.656578	701.321838	78.063377	0	355.268707	0	0	0	125.507797	191.071182	180.72789	0	0	0	0	0	0	0	0	273.389893	286.824493	0	0	0	348.423431	0	160.837448	157.494431	531.867676	659.932373	0	0	274.308411	325.445251	0
NODE_11_length_102951_cov_23.208978	STRG.619	0	178.363251	108.347443	0	0	0	0	165.952209	0	0	248.220062	534.576965	109.912613	0	103.249977	0	307.932587	0	0	47.470726	44.568363	0	0	0	0	0	72.923973	0	0	0	0	0	0	0	0	226.572937	0	0	0	0	0	0	0	261.346436	0
NODE_11_length_102951_cov_23.208978	STRG.637	427.055298	1433.211304	2494.866455	1340.829346	948.475708	7879.137695	1558.421997	2228.564941	267.624176	3682.294189	1515.512085	959.432312	721.219482	2212.749512	2036.822144	4561.88623	5373.992188	1392.081909	1376.969849	459.749146	118.549034	0	0	323.125214	703.137634	216.991043	0	191.141037	471.000427	0	0	381.69635	338.939148	0	0	0	0	0	169.74617	404.640442	181.354385	328.179779	1544.198853	203.26944	256.343353
NODE_11_length_102951_cov_23.208978	STRG.663	184.682388	764.441345	1023.65741	1198.60022	118.130653	278.49173	202.691513	519.097839	128.189804	414.482605	0	455.909515	135.966751	586.902283	366.018402	159.582214	754.888306	602.454773	844.513184	337.003632	357.85199	0	156.209671	703.470642	0	260.145203	183.415939	246.470474	0	0	325.300873	0	0	1693.670044	0	119.278481	82.6754	0	0	341.744232	0	185.03688	0	0	280.991638
NODE_11_length_102951_cov_23.208978	STRG.684	0	0	0	0	337.784821	0	0	0	0	0	0	0	0	0	0	270.240051	0	0	0	0	406.841156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_11049_length_7647_cov_16.151344	STRG.80800	0	0	0	0	0	0	0	0	150.059982	0	0	0	0	0	0	0	0	0	0	0	1051.564575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_11094_length_7632_cov_134.358717	STRG.80971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588.304321	0	196.574341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
