Contig	sRNA_ID	s1a1	s1a2	s1a3	s1b1	s1b2	s1b3	s9b1	s9b2	s9b3	s13a1	s13a2	s13a3	s13b1	s13b2	s13b3	s17a1	s17a2	s17a3	s17b1	s17b2	s17b3	s2017-9am1	s2017-9am2	s2017-9am3	s2017-9am4	s2017-9am5	s2017-9am6	s2017-9am7	s2017-9am8	s2017-9am9	s2017-9am10	s2017-9am11	s2017-9am12	s2017-9pm1	s2017-9pm2	s2017-9pm3	s2017-9pm4	s2017-9pm5	s2017-9pm6	s2017-9pm7	s2017-9pm8	s2017-9pm9	s2017-9pm10	s2017-9pm11	s2017-9pm12
NODE_1_length_282097_cov_10.011800	STRG.116	0	0	0	0	0	0	0	0	0	0	121.6572349	0	2934.248615	0	0	1789.303272	0	0	0	0	0	0	0	0	0	0	2545.723106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_100_length_52167_cov_17.156970	STRG.3279	0	530.9772727	1095.189921	0	70.0540587	#DIV/0!	1681.165455	944.1815032	240.2174477	0	77.95688846	2423.572176	178.3649165	2022.715961	449.078783	2342.11127	0	0	177.6055521	144.4015375	114.4581179	0	#DIV/0!	#DIV/0!	0	0	0	#DIV/0!	8930.87851	0	0	0	0	0	1664.234576	0	0	#DIV/0!	1027.760073	0	0	1172.262882	0	0	0
NODE_10033_length_8069_cov_30.712254	STRG.76768	2003.016716	2741.951501	3134.051358	4787.723169	2318.895203	6172.683354	2548.320917	2841.591277	3247.126772	3665.049928	1271.221499	1915.48587	2163.387435	2693.798173	2252.514222	2442.669839	6028.750845	1535.400078	1753.562474	2177.390461	1198.736933	1055.778796	1744.037868	3808.090184	2378.92124	2899.858499	1876.862407	2375.238677	2050.047223	2053.531546	1443.474828	1936.169344	1799.350784	6337.840889	2148.333885	2593.963757	2199.936948	1722.765614	856.4386959	2428.232522	1333.60636	2310.30928	1682.210707	2040.807886	2986.577745
NODE_10049_length_8061_cov_14.166000	STRG.76849	0	#DIV/0!	5304.799689	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	585.0166223	882.2151225	#DIV/0!	0	0	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	1028.425369	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	1531.872165	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
NODE_10050_length_8060_cov_4.411368	STRG.76851	352.8619863	#DIV/0!	0	0	0	#DIV/0!	0	0	0	0	#DIV/0!	#DIV/0!	0	0	0	0	931.1596591	947.2734759	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	#DIV/0!	0	0	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
NODE_10063_length_8054_cov_18.553569	STRG.76888	2900.760182	10079.97644	3573.403625	3085.370977	4940.433835	7041.994246	18986.15257	18280.5051	0	7896.00861	5666.639455	4490.592999	2701.766814	3544.932638	2963.108412	9205.504729	#DIV/0!	1954.970902	1246.94134	2657.44586	547.9969848	859.1138047	1997.045337	3992.633483	2169.029756	1882.196786	2523.295379	2197.842921	2359.916572	5037.391057	2469.457699	2156.778527	1965.397842	6651.040037	2756.279772	2239.644138	2622.3457	2554.158231	1234.664523	2542.997505	1948.398428	2640.534425	1248.013674	3438.165472	1914.43703
NODE_1009_length_23319_cov_10.051582	STRG.18418	#DIV/0!	#DIV/0!	#DIV/0!	21283.47324	948.0289287	#DIV/0!	#DIV/0!	0	3584.416019	0	0	8498.603766	0	3334.533775	873.5605565	#DIV/0!	0	0	141.3825028	2559.980603	0	0	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
NODE_10137_length_8018_cov_16.392817	STRG.77219	0	#DIV/0!	#DIV/0!	4302.179291	#DIV/0!	#DIV/0!	90.14789878	0	0	0	0	0	0	0	178.4671938	0	0	0	0	#DIV/0!	139.345953	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	0	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!
NODE_1018_length_23197_cov_10.667142	STRG.18529	4623.583246	1974.079644	7173.404449	7921.747534	6828.708589	13643.8169	5349.794512	7212.152598	7220.484683	10822.00773	3637.329911	3066.081106	5477.053786	4353.372172	4849.287746	5855.833502	4240.189454	2436.784523	1712.960913	6929.261915	542.6524793	1739.356421	4896.590066	2021.091007	5069.292123	8518.46137	3121.308156	1851.004072	1379.846526	3431.290557	1619.001955	0	1930.529902	11356.26017	4103.533671	3811.266557	4565.669518	3280.234532	0	3793.836505	1661.36499	2127.176709	2845.964832	2910.702627	4603.654972
NODE_1021_length_23173_cov_10.861536	STRG.18587	1293.800044	0	0	0	0	#DIV/0!	0	0	0	#DIV/0!	365.145779	0	0	0	0	0	0	0	0	0	115.7098099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
