srna	srna_tpm	contig_tpm	taxon	color
STRG.66484	1.614323	4.867953	Other	black
STRG.66584	2.300317	0.898676	Euryarchaeota	blue
STRG.66620	2.418717	2.237312	Bacteroidetes	magenta
STRG.66995	1.543907	1.334552	Cyanobacteria	cyan
STRG.16079	5.948442	1.522146	Cyanobacteria	cyan
STRG.67099	1.491399	1.062092	Cyanobacteria	cyan
STRG.67103	6.217668	1.062092	Cyanobacteria	cyan
STRG.67154	2.394779	1.097772	Cyanobacteria	cyan
STRG.67156	1.195853	1.097772	Cyanobacteria	cyan
STRG.16202	1.320702	0.314126	Euryarchaeota	blue
STRG.67448	4.092646	1.598331	Bacteroidetes	magenta
STRG.67703	1.447161	0.880313	Euryarchaeota	blue
STRG.16366	2.647074	2.981672	Bacteroidetes	magenta
STRG.67758	2.824825	2.051991	Euryarchaeota	blue
STRG.67916	1.450267	1.203085	Bacteroidetes	magenta
STRG.67978	5.106947	0.165135	Euryarchaeota	blue
STRG.16483	1.222269	2.233493	Other	black
STRG.16492	1.413419	2.233493	Other	black
STRG.16502	1.209988	2.233493	Other	black
STRG.68267	1.329031	0.621437	Cyanobacteria	cyan
STRG.2854	6.542701	1.135274	Cyanobacteria	cyan
STRG.2868	2.046562	1.135274	Cyanobacteria	cyan
STRG.2890	5.984037	1.135274	Cyanobacteria	cyan
STRG.2894	2.298032	1.135274	Cyanobacteria	cyan
STRG.68701	1.601048	3.077274	Other	black
STRG.16676	1.448807	1.949961	Other	black
STRG.69092	4.071674	2.8839	Other	black
STRG.69280	1.401886	0.303181	Euryarchaeota	blue
STRG.2918	1.277597	0.844014	Bacteroidetes	magenta
STRG.2923	1.562083	0.844014	Bacteroidetes	magenta
STRG.69316	1.883954	0.31108	Euryarchaeota	blue
STRG.69419	1.236339	0.520469	Other	black
STRG.69422	1.226925	0.520469	Other	black
STRG.69472	1.195466	0.737029	Euryarchaeota	blue
STRG.69529	2.276846	1.36959	Euryarchaeota	blue
STRG.499	1.207996	0.365929	Euryarchaeota	blue
STRG.69666	1.69715	1.999216	Other	black
STRG.69782	1.864176	5.121917	Other	black
STRG.69786	1.27501	5.121917	Other	black
STRG.69809	2.350863	0.876887	Euryarchaeota	blue
STRG.17033	6.237723	0.776813	Cyanobacteria	cyan
STRG.69946	1.278649	0.831767	Euryarchaeota	blue
STRG.70072	1.495738	0.739746	Cyanobacteria	cyan
STRG.70074	1.462877	0.739746	Cyanobacteria	cyan
STRG.70216	1.323272	0.29858	Euryarchaeota	blue
STRG.70276	1.960583	1.393114	Other	black
STRG.17145	1.660069	0.386193	Other	black
STRG.70878	2.126816	5.667705	Bacteroidetes	magenta
STRG.17361	1.67724	0.341764	Euryarchaeota	blue
STRG.71199	1.414861	0.368173	Other	black
STRG.71350	2.12247	0.782484	Euryarchaeota	blue
STRG.71354	1.214118	0.782484	Euryarchaeota	blue
STRG.71362	1.386888	0.782484	Euryarchaeota	blue
STRG.3064	8.202785	1.033632	Cyanobacteria	cyan
STRG.3071	1.298259	1.033632	Cyanobacteria	cyan
STRG.3072	3.223354	1.033632	Cyanobacteria	cyan
STRG.3080	1.221709	1.033632	Cyanobacteria	cyan
STRG.71415	1.186879	0.911025	Cyanobacteria	cyan
STRG.71617	2.794283	0.858197	Cyanobacteria	cyan
STRG.17618	6.134414	2.045898	Bacteroidetes	magenta
STRG.17638	1.200663	2.128068	Other	black
STRG.17688	1.421273	0.975384	Cyanobacteria	cyan
STRG.17695	1.615612	0.975384	Cyanobacteria	cyan
STRG.17699	1.304136	0.975384	Cyanobacteria	cyan
STRG.72575	8.295337	8.836553	Cyanobacteria	cyan
STRG.17771	1.457504	3.173253	Other	black
