Gene ID	Contig counter	Gene name	Taxon
Ga0224629_1021396.11	NODE_21396_length_5151_cov_5.068485-6	galactonate dehydratase	Halobacteria
Ga0224629_1021456.1	NODE_21456_length_5142_cov_8.391783-6	NAD+ synthase	Halobacteria
Ga0224629_1022330.4	NODE_22330_length_5018_cov_7.275640-3	hypothetical protein	Halobacteria
Ga0224629_1023701.1	NODE_23701_length_4836_cov_25.946036-6	biotin transport system substrate-specific component	Halobacteria
Ga0224629_1000617.7	NODE_617_length_28154_cov_37.778142-4	L-ascorbate 6-phosphate lactonase	Halobacteria
Ga0224629_1030010.11	NODE_30010_length_4141_cov_88.216593-6	glycosyltransferase involved in cell wall biosynthesis	Halobacteria
Ga0224629_1000661.38	NODE_661_length_27558_cov_129.752863-20	putative mRNA 3-end processing factor	Halobacteria
Ga0224629_1034380.10	NODE_34380_length_3783_cov_13.240343-6	hypothetical protein	Halobacteria
Ga0224629_1037711.3	NODE_37711_length_3541_cov_110.645152-2	alkylmercury lyase-like protein	Halobacteria
Ga0224629_1042131.3	NODE_42131_length_3277_cov_31.263191-2	phosphoglycerate dehydrogenase-like enzyme	Halobacteria
Ga0224629_1044394.3	NODE_44394_length_3159_cov_15.280928-2	hypothetical protein	Halobacteria
Ga0224629_1045243.5	NODE_45243_length_3118_cov_6.176624-3	peptide chain release factor subunit 1	Halobacteria
Ga0224629_1001032.5	NODE_1032_length_23091_cov_8.645772-3	hypothetical protein	Halobacteria
Ga0224629_1001131.40	NODE_1131_length_22257_cov_11.663994-21	predicted DNA binding protein/PAS domain-containing protein	Halobacteria
Ga0224629_1001277.25	NODE_1277_length_21247_cov_17.232493-13	trk system potassium uptake protein TrkA	Halobacteria
Ga0224629_1001477.25	NODE_1477_length_20045_cov_6.163032-14	O-antigen/teichoic acid export membrane protein	Halobacteria
Ga0224629_1002046.9	NODE_2046_length_17441_cov_128.504026-5	MFS family permease/sugar phosphate permease	Halobacteria
Ga0224629_1000110.21	NODE_110_length_50296_cov_10.090802-11	branched-chain amino acid transport system permease protein	Halobacteria
Ga0224629_1002619.13	NODE_2619_length_15677_cov_10.171297-7	Zn-dependent protease with chaperone function	Halobacteria
Ga0224629_1002633.17	NODE_2633_length_15626_cov_25.201400-9	hypothetical protein	Halobacteria
Ga0224629_1003169.10	NODE_3169_length_14409_cov_8.241675-6	2-dehydropantoate 2-reductase	Halobacteria
Ga0224629_1003909.1	NODE_3909_length_13081_cov_7.253339-1	hypothetical protein	Halobacteria
Ga0224629_1004078.13	NODE_4078_length_12816_cov_12.865685-7	DNA-binding IclR family transcriptional regulator	Halobacteria
Ga0224629_1005288.1	NODE_5288_length_11306_cov_17.247356-7	demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	Halobacteria
Ga0224629_1006100.16	NODE_6100_length_10516_cov_8.843992-8	hypothetical protein	Halobacteria
Ga0224629_1006120.13	NODE_6120_length_10492_cov_7.670499-7	membrane-associated phospholipid phosphatase	Halobacteria
Ga0224629_1006228.12	NODE_6228_length_10385_cov_7.705808-7	CDP-diacylglycerol--serine O-phosphatidyltransferase	Halobacteria
Ga0224629_1006575.13	NODE_6575_length_10091_cov_3.768633-7	hypothetical protein	Halobacteria
Ga0224629_1007144.8	NODE_7144_length_9694_cov_110.664488-5	hypothetical protein	Halobacteria
Ga0224629_1007458.14	NODE_7458_length_9474_cov_17.692324-8	uncharacterized protein (DUF433 family)	Halobacteria
Ga0224629_1007459.20	NODE_7459_length_9474_cov_5.025268-11	hypothetical protein	Halobacteria
Ga0224629_1008547.5	NODE_8547_length_8815_cov_5.768836-3	hypothetical protein	Halobacteria
Ga0224629_1008678.5	NODE_8678_length_8748_cov_8.863568-3	multiple sugar transport system permease protein	Halobacteria
Ga0224629_1008730.11	NODE_8730_length_8718_cov_18.004848-6	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	Halobacteria
Ga0224629_1008744.3	NODE_8744_length_8710_cov_11.839284-2	MFS family permease/predicted MFS family arabinose efflux permease	Halobacteria
Ga0224629_1010497.22	NODE_10497_length_7868_cov_5.728273-11	hypothetical protein	Halobacteria
Ga0224629_1010774.15	NODE_10774_length_7755_cov_113.984545-8	hypothetical protein	Halobacteria
Ga0224629_1012845.1	NODE_12845_length_6994_cov_44.584378-1	glycerol-3-phosphate dehydrogenase subunit B	Halobacteria
Ga0224629_1013806.5	NODE_13806_length_6705_cov_4.740301-3	hypothetical protein	Halobacteria
Ga0224629_1015253.3	NODE_15253_length_6335_cov_37.453344-2	uncharacterized membrane protein	Halobacteria
Ga0224629_1015380.1	NODE_15380_length_6301_cov_100.797150-5	geranylgeranylglycerol-phosphate geranylgeranyltransferase	Halobacteria
Ga0224629_1016004.9	NODE_16004_length_6151_cov_47.613353-6	hypothetical protein	Halobacteria
Ga0224629_1016949.5	NODE_16949_length_5934_cov_11.773431-3	hypothetical protein	Halobacteria
Ga0224629_1017213.7	NODE_17213_length_5876_cov_51.107885-4	hypothetical protein	Halobacteria
Ga0224629_1017922.7	NODE_17922_length_5737_cov_7.688314-4	hypothetical protein	Halobacteria
Ga0224629_1017997.7	NODE_17997_length_5723_cov_18.169372-4	transitional endoplasmic reticulum ATPase	Halobacteria
